filename,pred_company,true_company,company_similarity,company_correct,pred_address,true_address,address_similarity,address_correct,pred_date,true_date,normalized_pred_date,normalized_true_date,date_correct,pred_total,true_total,normalized_pred_total,normalized_true_total,total_correct,all_fields_correct,overall_status
X51005268408.jpg,TANAN BERKELEY,TANAN BERKELEY,1.0,Yes,"LOT 2811, JALAN ANGSA, 44150 SELANGOR","LOT 2811, JALAN ANGSA, 44150 SELANGOR",1.0,Yes,,20-11-17,,20 11 17,No,167.46,169.78,167.46,169.78,No,No,needs_review
X51005288570.jpg,SECURE PARKING,SECURE PARKING,1.0,Yes,"Batu 3, Jalan Ipoh","Batu 3, Jalan Ipoh 51200 KL",0.791,Yes,,23.03.18,,23 03 18,No,23.03,1,23.03,1.0,No,No,needs_review
X51005301666.jpg,LIGHTROOM GALLERY SDN BHD,LIGHTROOM GALLERY SDN BHD,1.0,Yes,"No: 28, TALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR DB, MALAYSIA","No: 28, TALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR DB, MALAYSIA",1.0,Yes,20/11/2017,20/11/2017,2017-11-20,2017-11-20,Yes,263.02,263.02,263.02,263.02,Yes,Yes,valid
X51005337867.jpg,Sy fee,OLDTOWN WHITE COFFEE,0.308,No,,OLD TOWN KOPITIAM SDN BHD (716269-X) SRI RAMPAI,0.0,No,,22-Mar-18,,22 MAR 18,No,30.24,30.25,30.24,30.25,No,No,needs_review
X51005337877.jpg,WA be to,WA be to,1.0,Yes,"22A-1, JALAN 17/54, SELANGOR.","22A-1, JALAN 17/54, SELANGOR.",1.0,Yes,20/03/2018,20/03/2018,2018-03-20,2018-03-20,Yes,53.00,53,53.0,53.0,Yes,Yes,valid
X51005361906.jpg,TEQ HENG STATIONERY BOOKS,TEQ HENG STATIONERY BOOKS,1.0,Yes,"NO. 53, JALAN LANGOR","NO. 53, JALAN LANGOR",1.0,Yes,27/01/2018,27/01/2018,2018-01-27,2018-01-27,Yes,27.35,27.35,27.35,27.35,Yes,Yes,valid
X51005361908.jpg,Try da?,Try da?,1.0,Yes,NO. 53; 45600 BATANG,NO. 53; 45600 BATANG,1.0,Yes,15/03/2018,15/03/2018,2018-03-15,2018-03-15,Yes,127.20,127.2,127.2,127.2,Yes,Yes,valid
X51005361912.jpg,SELANGOR DARUL EHSAN’,SELANGOR DARUL EHSAN’,1.0,Yes,"NO. 58, JALAN BESAR, 45400 BATANG-BERJUNTAI","NO. 58, JALAN BESAR, 45400 BATANG-BERJUNTAI",1.0,Yes,29/01/2018,29/01/2018,2018-01-29,2018-01-29,Yes,1.05,1.05,1.05,1.05,Yes,Yes,valid
X51005361923.jpg,"Pusat Niaga Ijok Parmai,","Pusat Niaga Ijok Parmai,",1.0,Yes,"4 Ry es BA pt &2 10, Jalan liok Permai dy","4 Ry es BA pt &2 10, Jalan liok Permai dy",1.0,Yes,2/01/2018,2/1/2018,2018-01-02,2018-01-02,Yes,46.00,46,46.0,46.0,Yes,Yes,valid
X51005365187.jpg,F&P PHARMACY,F&P PHARMACY,1.0,Yes,"NO.20, GROUND FLOOR, JALAN BS 10/6 TAMAN BUKIT SERDANG, SELANGOR DARUL EHSAN","NO.20, GROUND FLOOR, JALAN BS 10/6 TAMAN BUKIT SERDANG, SELANGOR DARUL EHSAN",1.0,Yes,02/03/2018,2/3/2018,2018-03-02,2018-03-02,Yes,16.46,16.46,16.46,16.46,Yes,Yes,valid
X51005433518.jpg,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,1.0,Yes,"Tampoi,81200 Johar Bahru Johor","Tampoi,81200 Johar Bahru Johor",1.0,Yes,07 Mar 2018,7-Mar-18,2018-03-07,7 MAR 18,No,8.20,8.2,8.2,8.2,Yes,No,valid
X51005433543.jpg,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,1.0,Yes,"42, Jalan Tampoi 7/4 Kawasan Perindustrian Johor Bahru, Johor","42, Jalan Tampoi 7/4 Kawasan Perindustrian Johor Bahru, Johor",1.0,Yes,,13-Mar-18,,13 MAR 18,No,8.20,8.2,8.2,8.2,Yes,No,needs_review
X51005433548.jpg,Waanet,Waanet,1.0,Yes,"379, JALAN PERMAS SATU, BANDAR BARU PERNAS 61750 PLENTONG, JOHOR.","379, JALAN PERMAS SATU, BANDAR BARU PERNAS 61750 PLENTONG, JOHOR.",1.0,Yes,03/03/2018,3/3/2018,2018-03-03,2018-03-03,Yes,50.00,50,50.0,50.0,Yes,Yes,valid
X51005433556.jpg,Aeon Tebrau City,Aeon Tebrau City,1.0,Yes,"Aeon Tebrau City, i, Jalan Desa Tebrau, Taman Oesa Tebrau, 81100 Johor Bahru, Johor.","Aeon Tebrau City, i, Jalan Desa Tebrau, Taman Oesa Tebrau, 81100 Johor Bahru, Johor.",1.0,Yes,11/03/2018,11/3/2018,2018-03-11,2018-03-11,Yes,49.70,49.7,49.7,49.7,Yes,Yes,valid
X51005442322.jpg,RESTAURANT,RESTAURANT,1.0,Yes,"TONY ROMA'S AEON TEBRAU CITY LOT G112, AEQH MALL TEBRAU CITY No 1 JALAN TEBRAU 81100 JOHOR BAHRU","TONY ROMA'S AEON TEBRAU CITY LOT G112, AEQH MALL TEBRAU CITY No 1 JALAN TEBRAU 81100 JOHOR BAHRU",1.0,Yes,,3-Mar-18,,3 MAR 18,No,269.40,269.4,269.4,269.4,Yes,No,needs_review
X51005442334.jpg,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,1.0,Yes,"12, Jalan Tampoi 7/4,Kawasan Perindustiian Johor Bahru, Johor","12, Jalan Tampoi 7/4,Kawasan Perindustiian Johor Bahru, Johor",1.0,Yes,26 Mar 2018,26-Mar-18,2018-03-26,26 MAR 18,No,8.20,8.2,8.2,8.2,Yes,No,valid
X51005442343.jpg,YONG TAT HARDWARE,YONG TAT HARDWARE TRADING,0.81,No,"NO 4,JALAN PERJIRANAN 10, TAMAN AIR BIRU JOHOR","NO 4,JALAN PERJIRANAN 10, TAMAN AIR BIRU JOHOR",1.0,Yes,,13/03/2018,,2018-03-13,No,102.00,102,102.0,102.0,Yes,No,needs_review
X51005442366.jpg,Triple Six Point Enterprise 666,Triple Six Point Enterprise 666,1.0,Yes,No 14846 Jalan Permas 4/3 Bandar Baru Permas Jayt,No 14 & 16 Jalan Permas 4/3 Bandar Baru Permas Jayt,0.959,Yes,,22-03-2018,,22 03 2018,No,22.60,22.6,22.6,22.6,Yes,No,needs_review
X51005442375.jpg,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,1.0,Yes,"12, Jalan 7/4,Kawasan Tampoi,81 200 Johor Bahiu,Johor","12, Jalan 7/4,Kawasan Tampoi,81 200 Johor Bahiu,Johor",1.0,Yes,25 Mar 2018,25-Mar-18,2018-03-25,25 MAR 18,No,8.50,8.5,8.5,8.5,Yes,No,valid
X51005442382.jpg,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,1.0,Yes,"12, Jalan Tampoi 7/4, Kawasan Johor Bahru, Johor","12, Jalan Tampoi 7/4, Kawasan Johor Bahru, Johor",1.0,Yes,20 Mar 2018,20-Mar-18,2018-03-20,20 MAR 18,No,6.60,6.6,6.6,6.6,Yes,No,valid
X51005442388.jpg,CONTENTO,CONTENTO,1.0,Yes,"15, JALAN PERNAS. 10/7, PERHAS 81750 HASAL JOHOR","15, JALAN PERNAS. 10/7, PERHAS 81750 HASAL JOHOR",1.0,Yes,,20/03/18,,2018-03-20,No,30.00,21.6,30.0,21.6,No,No,needs_review
X51005444040.jpg,"Plaza Batai, Damansara Heights","Plaza Batai, Damansara Heights",1.0,Yes,"Lot 6, Jalan Batai,","Lot 6, Jalan Batai,",1.0,Yes,09/03/2018,9/3/2018,2018-03-09,2018-03-09,Yes,133.70,133.7,133.7,133.7,Yes,Yes,valid
X51005444041.jpg,pe ae Grower,pe ae Grower,1.0,Yes,"Lot 6, Jalan Batai,","Lot 6, Jalan Batai,",1.0,Yes,08/03/2018,8/3/2018,2018-03-08,2018-03-08,Yes,81.00,81,81.0,81.0,Yes,Yes,valid
X51005444044.jpg,TAMAN BERKELEY,TAMAN BERKELEY,1.0,Yes,"LOT P.7. 2811, JALAN ANGSA, 41150 KLANG, SELANGOR","LOT P.7. 2811, JALAN ANGSA, 41150 KLANG, SELANGOR",1.0,Yes,,10/3/2018,,2018-03-10,No,6.00,5.35,6.0,5.35,No,No,needs_review
X51005444046.jpg,"No 4, Desa Pandan, Off kampong Pandan,",STAR GROCER SDN BHD,0.222,No,,"No 4, Desa Pandan, Off kampong Pandan,55100 Kuala Lumpur",0.0,No,25/03/2018,25/03/2018,2018-03-25,2018-03-25,Yes,66.15,66.15,66.15,66.15,Yes,No,valid_with_warnings
X51005447841.jpg,PASARAYA BORONG PINTAR,PASARAYA BORONG PINTAR,1.0,Yes,"BR No.: (124525-H) NO 19-G8&19-1&19-2 JALAN TASIK UTAMA 4,","BR No.: (124525-H) NO 19-G8&19-1&19-2 JALAN TASIK UTAMA 4,",1.0,Yes,09/03/2018,9/3/2018,2018-03-09,2018-03-09,Yes,10.50,10.5,10.5,10.5,Yes,Yes,valid
X51005447842.jpg,PASARAYA BORONG PINTAR,PASARAYA BORONG PINTAR,1.0,Yes,"BR No.: (124525-H) NO 19-G&19-1&19-2 JALAN TASIK UTAMA 4,","BR No.: (124525-H) NO 19-G&19-1&19-2 JALAN TASIK UTAMA 4,",1.0,Yes,14/03/2018,14/03/2018,2018-03-14,2018-03-14,Yes,5.00,5,5.0,5.0,Yes,Yes,valid
X51005447844.jpg,RESTAURANT JIAWE!,RESTAURANT JIAWE!,1.0,Yes,POS No:2,POS No:2,1.0,Yes,23/2/2018,23/2/2018,2018-02-23,2018-02-23,Yes,110.00,110,110.0,110.0,Yes,Yes,valid
X51005447851.jpg,PASARAYA BORONG PINTAR,PASARAYA BORONG PINTAR,1.0,Yes,"BR No.: (124525-H) NO 19-G&19-4&19-2 JALAN TASIK UTAMA 4,","BR No.: (124525-H) NO 19-G&19-4&19-2 JALAN TASIK UTAMA 4,",1.0,Yes,30/01/2018,30/01/2018,2018-01-30,2018-01-30,Yes,100.00,100,100.0,100.0,Yes,Yes,valid
X51005447859.jpg,PASARAYA BORONG PINTAR,PASARAYA BORONG PINTAR,1.0,Yes,"BR No.: (124525-H) NO 19-G&19-1819-2 JALAN TASIK UTAMA 4,","BR No.: (124525-H) NO 19-G&19-1819-2 JALAN TASIK UTAMA 4,",1.0,Yes,14/02/2018,14/02/2018,2018-02-14,2018-02-14,Yes,10.00,10,10.0,10.0,Yes,Yes,valid
X51005568855.jpg,CHERAS LEISURE MALL,CHERAS LEISURE MALL,1.0,Yes,(Co. No. 113825-W),(Co. No. 113825-W),1.0,Yes,23/12/2017,23/12/2017,2017-12-23,2017-12-23,Yes,66.57,66.57,66.57,66.57,Yes,Yes,valid
X51005568866.jpg,CHERAS LEISURE MALL,CHERAS LEISURE MALL,1.0,Yes,"(Co. No, 113825-W)","NO 8, Jalan 7/118B, Desa Tun Razak 56000 Kuala Lumpur, Malaysia",0.216,No,3 Sept 2017,3-Sep-17,3 SEPT 2017,3 SEP 17,No,5.05,5.05,5.05,5.05,Yes,No,needs_review
X51005568885.jpg,EVERGREEN LIGHT SDN BHD,EVERGREEN LIGHT SDN BHD,1.0,Yes,"JALAN 744 4, BANDAR","NO,7-1, JALAN PUTERI 7/11 , BANDAR PUTERI, 47100 PUCHONG, BELANGOR",0.38,No,,10/7/2017,,2017-07-10,No,3.17,56,3.17,56.0,No,No,needs_review
X51005568887.jpg,‘HON HWA HARDWARE TRADING,HON HWA HARDWARE TRADING,1.0,Yes,"NO 37, JALAN MANIS 7, TAMAN SEGAR,","NO 37, JALAN MANIS 7, TAMAN SEGAR,56100 CHERAS, KUALA LUMPUR",0.705,Yes,,26/04/2017,,2017-04-26,No,7.20,7.2,7.2,7.2,Yes,No,needs_review
X51005568889.jpg,HON HWA HARDWARE TRADING,HON HWA HARDWARE TRADING,1.0,Yes,"Campany Reg, No. 001056194% NO 37, JALAN MANIS 7, TAMAN SEGAR,","NO 37, JALAN MANIS 7, TAMAN SEGAR,56100 CHERAS, KUALA LUMPUR",0.549,No,,11/2/2017,,2017-02-11,No,19.60,19.6,19.6,19.6,Yes,No,needs_review
X51005568890.jpg,HONHWAHARDWARETRADING,HONHWAHARDWARETRADING,1.0,Yes,"Company Reg. No. 001055194% NO 37, JALAN MANIS 7, TAMAN SEGAR,"," NO 37, JALAN MANIS 7, TAMAN SEGAR,56100 CHERAS, KUALA LUMPUR",0.549,No,,5/1/2017,,2017-01-05,No,5.00,5,5.0,5.0,Yes,No,needs_review
X51005568892.jpg,EVERGREEN LIGHT BHD,EVERGREEN LIGHT SDN BHD,0.905,Yes,"JALAN 7444, BANDAR 87700 PUCHONG, SELANGOR","NO.7-1, JALAN 7444, BANDAR 47100 PUCHONG, BELANGOR",0.851,Yes,,18/09/2017,,2017-09-18,No,26.00,26,26.0,26.0,Yes,No,needs_review
X51005568894.jpg,"WWW, ViVOpaccom","WWW, ViVOpaccom",1.0,Yes,14 JALAN MANIS 4 TAMAN SEGAR 56100 KL,14 JALAN MANIS 4 TAMAN SEGAR 56100 KL,1.0,Yes,17/01/2017,17/01/2017,2017-01-17,2017-01-17,Yes,46.65,46.65,46.65,46.65,Yes,Yes,valid
X51005568895.jpg,"Www vivopac,com","Www vivopac,com",1.0,Yes,14 JALAN MANIS 4 TAMAN SEGAR 56100 KL,14 JALAN MANIS 4 TAMAN SEGAR 56100 KL,1.0,Yes,13/09/2017,13/09/2017,2017-09-13,2017-09-13,Yes,52.45,52.45,52.45,52.45,Yes,Yes,valid
X51005577191.jpg,"TaHAN SERNANG,","TaHAN SERNANG,",1.0,Yes,"No. 42, JALAN PES 14/14,","No. 42, JALAN PES 14/14,",1.0,Yes,07/12/2017,7/12/2017,2017-12-07,2017-12-07,Yes,10.09,10.09,10.09,10.09,Yes,Yes,valid
X51005582745.jpg,MODERN DEPOT SON BHD,MODERN DEPOT SON BHD,1.0,Yes,"NO.19, PT18495, JALAN JANBU NELAKA 2,","NO.19, PT18495, JALAN JANBU NELAKA 2,",1.0,Yes,04/12/2016,4/12/2016,2016-12-04,2016-12-04,Yes,150.00,150,150.0,150.0,Yes,Yes,valid
X51005587261.jpg,CHOP YEW LIAN,CHOP YEW LIAN,1.0,Yes,"LOT PT 5121, Per. Klang, Sek. 27 40000 Shah Alan, Selangor","LOT PT 5121, Per. Klang, Sek. 27 40000 Shah Alan, Selangor",1.0,Yes,23/03/2017,23/03/2017,2017-03-23,2017-03-23,Yes,30.00,30,30.0,30.0,Yes,Yes,valid
X51005605287.jpg,"JLN JEJAKA, TAMAN MALURI","JLN JEJAKA, TAMAN MALURI",1.0,Yes,"3RD FLR, AEON TAMAN MALURT SC","3RD FLR, AEON TAMAN MALURT SC",1.0,Yes,14/03/2018,14/03/2018,2018-03-14,2018-03-14,Yes,41.55,41.55,41.55,41.55,Yes,Yes,valid
X51005605295.jpg,(NRIES ICE COOL HI,(NRIES ICE COOL HI,1.0,Yes,"Lot G01, KL Festival City, No. 67 JIn Ibu Kota Danau Kata, KL","Lot G01, KL Festival City, No. 67 JIn Ibu Kota Danau Kata, KL",1.0,Yes,22/03/2018,22/03/2018,2018-03-22,2018-03-22,Yes,4.20,4.2,4.2,4.2,Yes,Yes,valid
X51005605332.jpg,SUNWAY VELOCITY,SUNWAY VELOCITY,1.0,Yes,(Co. No. 113825-W),(Co. No. 113825-W),1.0,Yes,14/03/2018,14/03/2018,2018-03-14,2018-03-14,Yes,9.00,9,9.0,9.0,Yes,Yes,valid
X51005621482.jpg,PREMIO STATIONERY SDN BHD,PREMIO STATIONERY SDN BHD,1.0,Yes,(Co. No.: 123769-W),(Co. No.: 123769-W),1.0,Yes,20/03/2018,20/03/2018,2018-03-20,2018-03-20,Yes,20.00,20,20.0,20.0,Yes,Yes,valid
X51005663274.jpg,LIM SENG THO HARDWARE TRADING,LIM SENG THO HARDWARE TRADING,1.0,Yes,"No 7, Simpang Off Batu Village, Jalan {pon Batu 5, 51200 Kuala Lumpur. MALAYSIA","No 7, Simpang Off Batu Village, Jalan {pon Batu 5, 51200 Kuala Lumpur. MALAYSIA",1.0,Yes,08/02/2018,8/2/2018,2018-02-08,2018-02-08,Yes,45.00,45,45.0,45.0,Yes,Yes,valid
X51005663300.jpg,LIM SENG THO HARDWARE TRADING,LIM SENG THO HARDWARE TRADING,1.0,Yes,"Jalan Ipoh Batu 5, 57200 Kuala Lumpur MALAYSIA","Jalan Ipoh Batu 5, 57200 Kuala Lumpur MALAYSIA",1.0,Yes,02/02/2018,2/2/2018,2018-02-02,2018-02-02,Yes,10.00,10,10.0,10.0,Yes,Yes,valid
X51005663307.jpg,"TAMAN SRI RAMPAI,","TAMAN SRI RAMPAI,",1.0,Yes,"NO.8, JALAN 46/26,","NO.8, JALAN 46/26,",1.0,Yes,09/02/2018,9/2/2018,2018-02-09,2018-02-09,Yes,56.80,56.8,56.8,56.8,Yes,Yes,valid
X51005663309.jpg,"Wh Au BATH HA LTHA Linh,",KOH SENG HARDWARE,0.3,No,JALAN zat An Trak,"NO. 939 , BATU LIMA, JALAN IPOH, 51200 KUALA LUMPUR.",0.286,No,,1/2/2018,,2018-02-01,No,7.00,5.3,7.0,5.3,No,No,needs_review
X51005663310.jpg,LIM SENG THO HARDWARE FRADING,LIM SENG THO HARDWARE FRADING,1.0,Yes,"No 7, Simpang Off Batu Village. Jalan Ipoh Batu 5. 51200 Kuala Lumour MALAYSIA","No 7, Simpang Off Batu Village. Jalan Ipoh Batu 5. 51200 Kuala Lumour MALAYSIA",1.0,Yes,09/02/2018,9/2/2018,2018-02-09,2018-02-09,Yes,8.40,8.4,8.4,8.4,Yes,Yes,valid
X51005663323.jpg,KOH SENG HARDWARE,KOH SENG HARDWARE,1.0,Yes,"NO. 939, BATU LINA, JALAN IPOH,","NO. 939, BATU LINA, JALAN IPOH,",1.0,Yes,04/12/2017,4/12/2017,2017-12-04,2017-12-04,Yes,843.00,843,843.0,843.0,Yes,Yes,valid
X51005675099.jpg,Super Terminal Sdn Bhd,Super Terminal Sdn Bhd,1.0,Yes,"No. 18 19, Taman City, Jalan Kuching,","No. 18 19, Taman City, Jalan Kuching,",1.0,Yes,20/01/2018,20/01/2018,2018-01-20,2018-01-20,Yes,132.50,132.5,132.5,132.5,Yes,Yes,valid
X51005675103.jpg,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,1.0,Yes,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS,",1.0,Yes,04/01/2018,4/1/2018,2018-01-04,2018-01-04,Yes,5.67,5.67,5.67,5.67,Yes,Yes,valid
X51005675104.jpg,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,1.0,Yes,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS,",1.0,Yes,25/01/2018,25/01/2018,2018-01-25,2018-01-25,Yes,10.80,10.8,10.8,10.8,Yes,Yes,valid
X51005675914.jpg,BEYOND BROTHERS HARDWARE,BEYOND BROTHERS HARDWARE,1.0,Yes,"LOT 4-0-2, 1/60,","LOT 1-0-2,JLN 1/50, DIAMOND SQUARE, OFF JLN GOMBAK 5300 KUALA LUMPUR",0.3,No,,1/11/2017,,2017-11-01,No,3.84,67.85,3.84,67.85,No,No,needs_review
X51005676534.jpg,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,1.0,Yes,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS,",1.0,Yes,03/01/2018,3/1/2018,2018-01-03,2018-01-03,Yes,72.08,72.08,72.08,72.08,Yes,Yes,valid
X51005676535.jpg,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,1.0,Yes,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS,",1.0,Yes,30/12/2017,30/12/2017,2017-12-30,2017-12-30,Yes,5.04,5.04,5.04,5.04,Yes,Yes,valid
X51005676537.jpg,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,1.0,Yes,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS,",1.0,Yes,03/01/2018,3/1/2018,2018-01-03,2018-01-03,Yes,5.34,5.34,5.34,5.34,Yes,Yes,valid
X51005676542.jpg,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,1.0,Yes,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS,",1.0,Yes,29/12/2017,29/12/2017,2017-12-29,2017-12-29,Yes,0.60,0.6,0.6,0.6,Yes,Yes,valid
X51005676548.jpg,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,1.0,Yes,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS,",1.0,Yes,15/01/2018,15/01/2018,2018-01-15,2018-01-15,Yes,0.63,0.63,0.63,0.63,Yes,Yes,valid
X51005677327.jpg,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,1.0,Yes,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS,",1.0,Yes,01/02/2018,1/2/2018,2018-02-01,2018-02-01,Yes,2.04,2.04,2.04,2.04,Yes,Yes,valid
X51005677333.jpg,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,1.0,Yes,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS,",1.0,Yes,31/01/2018,31/01/2018,2018-01-31,2018-01-31,Yes,5.76,5.76,5.76,5.76,Yes,Yes,valid
X51005677336.jpg,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,1.0,Yes,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS,",1.0,Yes,27/01/2018,27/01/2018,2018-01-27,2018-01-27,Yes,1.26,1.26,1.26,1.26,Yes,Yes,valid
X51005677337.jpg,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,1.0,Yes,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS,",1.0,Yes,02/02/2018,2/2/2018,2018-02-02,2018-02-02,Yes,5.33,5.33,5.33,5.33,Yes,Yes,valid
X51005684949.jpg,WESTERN EASTERN,WESTERN EASTERN,1.0,Yes,CO REG NO 210038~-k,CO REG NO 210038-k,1.0,Yes,,26-02-2018,,26 02 2018,No,0.02,7.42,0.02,7.42,No,No,needs_review
